Area,Age,Year,Male,Female
TOT,48,2019,176,55
TOT,49,2019,199,64
TOT,50,2019,198,88
TOT,51,2019,212,84
TOT,52,2019,272,97
TOT,53,2019,270,109
TOT,54,2019,269,109
TOT,55,2019,333,120
TOT,56,2019,365,157
TOT,57,2019,404,175
TOT,58,2019,468,207
TOT,59,2019,504,240
TOT,60,2019,506,255
TOT,61,2019,535,271
TOT,62,2019,511,243
TOT,63,2019,524,315
TOT,64,2019,571,336
TOT,65,2019,569,377
TOT,66,2019,588,354
TOT,67,2019,601,414
TOT,68,2019,662,473
TOT,69,2019,653,487
TOT,70,2019,646,521
TOT,71,2019,340,286
TOT,72,2019,368,314
TOT,73,2019,247,248
TOT,74,2019,286,284
TOT,75,2019,371,378
TOT,76,2019,414,495
TOT,77,2019,547,639
TOT,78,2019,416,513
TOT,79,2019,402,569
TOT,80,2019,354,587
TOT,81,2019,419,683
TOT,82,2019,390,660
TOT,83,2019,335,608
TOT,84,2019,362,573
TOT,85,2019,278,497
TOT,86,2019,256,499
TOT,87,2019,236,480
TOT,88,2019,214,463
TOT,89,2019,158,393
TOT,90,2019,165,333
TOT,91,2019,108,314
TOT,92,2019,76,223
TOT,93,2019,48,173
TOT,94,2019,49,122
TOT,95,2019,29,90
TOT,96,2019,17,60
TOT,97,2019,12,41
TOT,98,2019,4,21
TOT,99,2019,4,15
TOT,100,2019,7,29
TOT,999,2020,21450,19267
TOT,0,2020,145,123
TOT,1,2020,11,8
TOT,2,2020,10,1
TOT,3,2020,6,5
TOT,4,2020,7,4
TOT,5,2020,0,2
TOT,6,2020,7,3
TOT,7,2020,2,2
TOT,8,2020,6,3
TOT,9,2020,7,4
TOT,10,2020,4,3
TOT,11,2020,0,3
TOT,12,2020,7,1
TOT,13,2020,3,1
TOT,14,2020,3,5
TOT,15,2020,8,5
TOT,16,2020,10,4
TOT,17,2020,7,5
TOT,18,2020,12,5
TOT,19,2020,13,7
TOT,20,2020,18,1
TOT,21,2020,16,5
TOT,22,2020,15,5
TOT,23,2020,18,14
TOT,24,2020,15,3
TOT,25,2020,24,9
TOT,26,2020,27,12
TOT,27,2020,31,8
TOT,28,2020,31,12
TOT,29,2020,34,17
TOT,30,2020,35,19
TOT,31,2020,52,25
TOT,32,2020,58,29
TOT,33,2020,77,20
TOT,34,2020,57,36
TOT,35,2020,60,21
TOT,36,2020,84,26
TOT,37,2020,79,35
TOT,38,2020,99,37
TOT,39,2020,91,30
TOT,40,2020,123,41
TOT,41,2020,117,48
TOT,42,2020,139,48
TOT,43,2020,142,59
TOT,44,2020,168,59
TOT,45,2020,174,75
TOT,46,2020,164,72
TOT,47,2020,183,79
TOT,48,2020,182,80
TOT,49,2020,163,85
TOT,50,2020,186,97
TOT,51,2020,234,108
TOT,52,2020,243,108
TOT,53,2020,259,121
TOT,54,2020,286,133
TOT,55,2020,329,133
TOT,56,2020,365,168
TOT,57,2020,394,181
TOT,58,2020,447,240
TOT,59,2020,509,257
TOT,60,2020,533,263
TOT,61,2020,580,316
TOT,62,2020,593,312
TOT,63,2020,635,381
TOT,64,2020,654,368
TOT,65,2020,706,368
TOT,66,2020,634,450
TOT,67,2020,673,466
TOT,68,2020,691,488
TOT,69,2020,727,557
TOT,70,2020,824,633
TOT,71,2020,815,652
TOT,72,2020,465,413
TOT,73,2020,449,427
TOT,74,2020,336,324
TOT,75,2020,323,324
TOT,76,2020,380,468
TOT,77,2020,461,509
TOT,78,2020,606,706
TOT,79,2020,468,646
TOT,80,2020,435,632
TOT,81,2020,428,656
TOT,82,2020,415,713
TOT,83,2020,394,667
TOT,84,2020,364,665
TOT,85,2020,322,688
TOT,86,2020,308,494
TOT,87,2020,221,496
TOT,88,2020,195,484
TOT,89,2020,207,411
TOT,90,2020,161,362
TOT,91,2020,125,312
TOT,92,2020,97,247
TOT,93,2020,78,166
TOT,94,2020,48,143
TOT,95,2020,31,101
TOT,96,2020,19,68
TOT,97,2020,13,58
TOT,98,2020,8,31
TOT,99,2020,6,21
TOT,100,2020,8,28
TOT,999,2021,23438,22026
TOT,0,2021,134,114
TOT,1,2021,11,8
TOT,2,2021,5,3
TOT,3,2021,4,1
TOT,4,2021,3,5
TOT,5,2021,2,3
TOT,6,2021,2,4
TOT,7,2021,7,2
TOT,8,2021,7,1
TOT,9,2021,1,2
TOT,10,2021,3,3
TOT,11,2021,5,2
TOT,12,2021,7,5
TOT,13,2021,2,7
TOT,14,2021,6,4
TOT,15,2021,14,2
TOT,16,2021,13,3
TOT,17,2021,13,5
TOT,18,2021,17,5
TOT,19,2021,20,8
TOT,20,2021,14,2
TOT,21,2021,19,3
TOT,22,2021,14,8
TOT,23,2021,17,5
TOT,24,2021,20,7
TOT,25,2021,22,1
TOT,26,2021,19,8
TOT,27,2021,24,14
TOT,28,2021,32,19
TOT,29,2021,36,18
TOT,30,2021,51,18
TOT,31,2021,42,18
TOT,32,2021,48,24
TOT,33,2021,61,31
TOT,34,2021,62,29
TOT,35,2021,87,22
TOT,36,2021,98,28
TOT,37,2021,86,40
TOT,38,2021,93,30
TOT,39,2021,102,37
TOT,40,2021,108,33
TOT,41,2021,110,53
TOT,42,2021,128,45
TOT,43,2021,140,41
TOT,44,2021,131,54
TOT,45,2021,156,63
TOT,46,2021,162,75
TOT,47,2021,200,71
TOT,48,2021,193,92
TOT,49,2021,224,71
TOT,50,2021,227,93
TOT,51,2021,234,86
TOT,52,2021,242,116
TOT,53,2021,283,109
TOT,54,2021,281,131
TOT,55,2021,330,139
TOT,56,2021,350,152
TOT,57,2021,386,193
TOT,58,2021,458,218
TOT,59,2021,512,265
TOT,60,2021,530,323
TOT,61,2021,608,326
TOT,62,2021,629,411
TOT,63,2021,705,432
TOT,64,2021,773,458
TOT,65,2021,701,459
TOT,66,2021,760,512
TOT,67,2021,780,514
TOT,68,2021,730,607
TOT,69,2021,778,670
TOT,70,2021,866,728
TOT,71,2021,868,772
TOT,72,2021,895,841
TOT,73,2021,508,530
TOT,74,2021,478,533
TOT,75,2021,345,366
TOT,76,2021,360,418
TOT,77,2021,451,535
TOT,78,2021,511,637
TOT,79,2021,700,926
TOT,80,2021,522,771
TOT,81,2021,474,773
TOT,82,2021,426,741
TOT,83,2021,449,760
TOT,84,2021,418,748
TOT,85,2021,385,706
TOT,86,2021,370,671
TOT,87,2021,236,552
TOT,88,2021,222,477
TOT,89,2021,229,462
TOT,90,2021,165,396
TOT,91,2021,132,337
TOT,92,2021,109,285
TOT,93,2021,88,225
TOT,94,2021,42,153
TOT,95,2021,26,107
TOT,96,2021,32,79
TOT,97,2021,11,45
TOT,98,2021,13,29
TOT,99,2021,9,32
TOT,100,2021,9,26
TOT,999,2022,19286,16871
TOT,0,2022,134,109
TOT,1,2022,11,9
TOT,2,2022,5,1
TOT,3,2022,4,0
TOT,4,2022,4,1
TOT,5,2022,3,2
TOT,6,2022,4,3
TOT,7,2022,6,2
TOT,8,2022,1,2
TOT,9,2022,3,2
TOT,10,2022,6,3
TOT,11,2022,3,1
TOT,12,2022,5,2
TOT,13,2022,7,4
TOT,14,2022,5,0
TOT,15,2022,7,3
TOT,16,2022,15,4
TOT,17,2022,15,6
TOT,18,2022,9,5
TOT,19,2022,8,5
TOT,20,2022,13,7
TOT,21,2022,11,7
TOT,22,2022,12,1
TOT,23,2022,16,6
TOT,24,2022,17,3
TOT,25,2022,19,4
TOT,26,2022,19,5
TOT,27,2022,25,7
TOT,28,2022,25,11
TOT,29,2022,31,12
TOT,30,2022,31,16
TOT,31,2022,46,11
TOT,32,2022,37,23
TOT,33,2022,53,16
TOT,34,2022,58,23
TOT,35,2022,70,27
TOT,36,2022,69,29
TOT,37,2022,72,22
TOT,38,2022,68,38
TOT,39,2022,80,24
TOT,40,2022,100,40
TOT,41,2022,89,28
TOT,42,2022,123,46
TOT,43,2022,100,43
TOT,44,2022,123,49
TOT,45,2022,147,53
TOT,46,2022,144,46
TOT,47,2022,170,64
TOT,48,2022,173,48
TOT,49,2022,199,63
TOT,50,2022,189,58
TOT,51,2022,188,72
TOT,52,2022,195,80
TOT,53,2022,217,89
TOT,54,2022,253,100
TOT,55,2022,265,108
TOT,56,2022,288,116
TOT,57,2022,308,120
TOT,58,2022,400,146
TOT,59,2022,385,170
TOT,60,2022,452,221
TOT,61,2022,489,242
TOT,62,2022,525,257
TOT,63,2022,633,300
TOT,64,2022,610,296
TOT,65,2022,597,337
TOT,66,2022,611,309
TOT,67,2022,648,365
TOT,68,2022,601,417
TOT,69,2022,590,385
TOT,70,2022,659,511
TOT,71,2022,725,557
TOT,72,2022,682,637
TOT,73,2022,674,634
TOT,74,2022,368,350
TOT,75,2022,392,399
TOT,76,2022,244,290
TOT,77,2022,276,354
TOT,78,2022,361,452
TOT,79,2022,406,466
TOT,80,2022,482,737
TOT,81,2022,397,600
TOT,82,2022,380,610
TOT,83,2022,306,615
TOT,84,2022,335,637
TOT,85,2022,305,612
TOT,86,2022,272,521
TOT,87,2022,224,484
TOT,88,2022,189,386
TOT,89,2022,167,369
TOT,90,2022,142,369
TOT,91,2022,138,296
TOT,92,2022,109,219
TOT,93,2022,76,190
TOT,94,2022,52,150
TOT,95,2022,26,97
TOT,96,2022,11,73
TOT,97,2022,10,49
TOT,98,2022,5,21
TOT,99,2022,1,26
TOT,100,2022,12,33
