Area,Code,Age,Year,Deaths
Cimislia,MD.CS,999,2020,759
Leova,MD.LE,999,2020,623
Stefan Voda,MD.SV,999,2020,855
Taraclia,MD.TA,999,2020,493
Gagauzia,MD.GA,999,2020,1774
TOT,MD.MD,999,2021,45464
Chisinau,MD.CV,999,2021,9159
Balti,MD.BT,999,2021,1886
Briceni,MD.BR,999,2021,1242
Donduseni,MD.DO,999,2021,782
Drochia,MD.DR,999,2021,1393
Edinet,MD.ED,999,2021,1401
Falesti,MD.FA,999,2021,1277
Floresti,MD.FL,999,2021,1294
Glodeni,MD.GL,999,2021,956
Ocnita,MD.OC,999,2021,963
Riscani,MD.RS,999,2021,993
Singerei,MD.SI,999,2021,1147
Soroca,MD.SO,999,2021,1460
Anenii Noi,MD.AN,999,2021,1168
Calarasi,MD.CA,999,2021,930
Criuleni,MD.CR,999,2021,888
Dubasari,MD.DB,999,2021,400
Hincesti,MD.HI,999,2021,1463
Ialoveni,MD.IA,999,2021,1116
Nisporeni,MD.NI,999,2021,762
Orhei,MD.OH,999,2021,1623
Rezina,MD.RZ,999,2021,682
Straseni,MD.ST,999,2021,1077
Soldanesti,MD.SD,999,2021,650
Telenesti,MD.TE,999,2021,885
Ungheni,MD.UG,999,2021,1395
Basarabeasca,MD.BA,999,2021,350
Cahul,MD.CH,999,2021,1432
Cantemir,MD.CN,999,2021,732
Causeni,MD.CU,999,2021,1094
Cimislia,MD.CS,999,2021,801
Leova,MD.LE,999,2021,635
Stefan Voda,MD.SV,999,2021,892
Taraclia,MD.TA,999,2021,606
Gagauzia,MD.GA,999,2021,1930
TOT,MD.MD,999,2022,36157
Chisinau,MD.CV,999,2022,6635
Balti,MD.BT,999,2022,1337
Briceni,MD.BR,999,2022,1009
Donduseni,MD.DO,999,2022,615
Drochia,MD.DR,999,2022,1121
Edinet,MD.ED,999,2022,1105
Falesti,MD.FA,999,2022,1135
Floresti,MD.FL,999,2022,1089
Glodeni,MD.GL,999,2022,725
Ocnita,MD.OC,999,2022,706
Riscani,MD.RS,999,2022,847
Singerei,MD.SI,999,2022,956
Soroca,MD.SO,999,2022,1167
Anenii Noi,MD.AN,999,2022,840
Calarasi,MD.CA,999,2022,816
Criuleni,MD.CR,999,2022,800
Dubasari,MD.DB,999,2022,339
Hincesti,MD.HI,999,2022,1211
Ialoveni,MD.IA,999,2022,913
Nisporeni,MD.NI,999,2022,623
Orhei,MD.OH,999,2022,1315
Rezina,MD.RZ,999,2022,599
Straseni,MD.ST,999,2022,892
Soldanesti,MD.SD,999,2022,522
Telenesti,MD.TE,999,2022,789
Ungheni,MD.UG,999,2022,1132
Basarabeasca,MD.BA,999,2022,299
Cahul,MD.CH,999,2022,1206
Cantemir,MD.CN,999,2022,528
Causeni,MD.CU,999,2022,949
Cimislia,MD.CS,999,2022,629
Leova,MD.LE,999,2022,575
Stefan Voda,MD.SV,999,2022,773
Taraclia,MD.TA,999,2022,456
Gagauzia,MD.GA,999,2022,1504
